,company,model,rating,year,mileage,price
0,현대,맥스크루즈,디젤(e-VGT) 2.2 4WD 익스클루시브,14/02,"32,501km","1,420"
1,현대,맥스크루즈,디젤(e-VGT) 2.2 4WD 익스클루시브,14/02,"32,501km","1,420"
